# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#
HKC18台,http://139.159.221.112:80/today/hm.php?id=6e2716db644e66b4a0c3c1a947500b86&key=***
C18跑马,http://139.159.221.112:80/today/hm.php?id=66180655d7e860c5450568f018cce36d&key=***
88跑马台,http://139.159.221.112:80/today/hm.php?id=bea76c286042e85f6868e071ac7eb713&key=***
黄金翡翠台,http://139.159.221.112:80/today/hm.php?id=7d0a0c6067e8fb63e98b71bc87a0365e&key=***
黃金華劇台,http://139.159.221.112:80/today/hm.php?id=53a581fc37864a03d0c64e30cf05ed93&key=***
粤语片台,http://139.159.221.112:80/today/hm.php?id=38982d7127b580183f937300beccfb6e&key=***
美亚电影,http://139.159.221.112:80/today/hm.php?id=6ebb7856dda17570361e681a688b300e&key=***
AXN,http://139.159.221.112:80/today/hm.php?id=e9d4310b721d070202982def53c602d6&key=***
AXN,http://139.159.221.112:80/today/hm.php?id=0fa26a570193e8b9c79c10e6875e3d00&key=***
MovieMovie,http://139.159.221.112:80/today/hm.php?id=fc63967dc5b44aec77f0db90f7415dd1&key=***
mySUPER Sports,http://139.159.221.112:80/today/hm.php?id=f55d6167cab3170c892d31244a8817b2&key=***
Now爆谷星影台,http://139.159.221.112:80/today/hm.php?id=0f0a4ccad408e76dbeac98b1f9d0f455188dfbfaf34daf7808a26d68fb1a7c3d&key=***
NowJelli紫金国际,http://139.159.221.112:80/today/hm.php?id=b244c3a47c359adaf06be189677445ccf651a4aa051ec3bade98dd746141fa2d&key=***
中国电影频道,http://139.159.221.112:80/today/hm.php?id=e6463a9145206984cc6f79b330407da8fc0ed1a7966afde90cbb203fa4bafc6b&key=***
无线卫星亚洲台,http://139.159.221.112:80/today/hm.php?id=9e2414dc7b37e27275770a43d81c4fbe999ddaac825a439fdc241511cb25a400&key=***
mySUPER EYT,http://139.159.221.112:80/today/hm.php?id=da6ad387fc0a9779663ba03e5a17ea4f&key=***
mySUPER识食,http://139.159.221.112:80/today/hm.php?id=4562ab002044d86f3b5ee4d021a5e8d7&key=***
mySUPER识嘆,http://139.159.221.112:80/today/hm.php?id=b464abf26b2034c9363e20ed2397dd3e&key=***
mySUPER Music,http://139.159.221.112:80/today/hm.php?id=8052a475be30c0420232b5c3c8756e80&key=***
mySUPER金曲,http://139.159.221.112:80/today/hm.php?id=2e042c4a683e4ba0769ddca4609c3b68&key=***
mySUPER煲剧,http://139.159.221.112:80/today/hm.php?id=012b0197c2d89e090e12de430696b02f&key=***
mySUPER剧场,http://139.159.221.112:80/today/hm.php?id=429afadc340e712b1f9052b9294fc72d&key=***
mySUPER话当年,http://139.159.221.112:80/today/hm.php?id=5d63fe054d7dd480c3ec32fed3bb6667bfd9c72884cf7b0b902d747118b3da55&key=***
MyTV千禧经典台,http://139.159.221.112:80/today/hm.php?id=83a9c1c4e71043d8198195f3378b962c1edcc61233b93c610b5996f529911f59&key=***
龙祥电影,http://139.159.221.112:80/today/hm.php?id=72a86ecf2036865b10d05adca463ff49&key=***
HBO,http://139.159.221.112:80/today/hm.php?id=f8f70f1f3f0e0a49db75366ee2a3dd84&key=***
HBOHits,http://139.159.221.112:80/today/hm.php?id=5e0bc4f4a1eb7e854a3f6ab47d4ec7dc&key=***
HBOSignature,http://139.159.221.112:80/today/hm.php?id=903f9da59a63e95b4b17dcd14f4bd6a1&key=***
Cinemax,http://139.159.221.112:80/today/hm.php?id=431565c332e2fcd3b817f08614cd0bec&key=***
mySUPER直播足球2台,http://139.159.221.112:80/today/hm.php?id=6cf93411027527aaf33456944cb9fbe8e6a0c1cacea4eb4c8277ace8c5e27d28&key=***
mySUPER直播足球3台,http://139.159.221.112:80/today/hm.php?id=6cf93411027527aaf33456944cb9fbe8745a762664933b1327f31f44ccc126a2&key=***
mySUPER直播足球4台,http://139.159.221.112:80/today/hm.php?id=6cf93411027527aaf33456944cb9fbe885bbc516f3256284a64b6a478d20629d&key=***
mySUPER直播足球5台,http://139.159.221.112:80/today/hm.php?id=6cf93411027527aaf33456944cb9fbe817ef47c5410a89f73d264b1c24b0bce4&key=***
mySUPER直播足球6台,http://139.159.221.112:80/today/hm.php?id=6cf93411027527aaf33456944cb9fbe8238567ce82b2fbc0a35d2836944f99e8&key=***
中视,http://139.159.221.112:80/today/hm.php?id=8eadb0e8fa8c66e5092cfac44966dfbd&key=***
中视新闻,http://139.159.221.112:80/today/hm.php?id=0a040187cc4277d2da9dfe23dbd33c80&key=***
中视经典,http://139.159.221.112:80/today/hm.php?id=3f68c437ac5ffe43c9fff607a7361eb2&key=***
公视,http://139.159.221.112:80/today/hm.php?id=9b5a0d72799fec3eac8bc084c27d407b&key=***
小公视,http://139.159.221.112:80/today/hm.php?id=262e0d922513f6d9eb08c75e03221a9a&key=***
民视,http://139.159.221.112:80/today/hm.php?id=55430c3fdec136ddc68c6732218dd434&key=***
民视第一台,http://139.159.221.112:80/today/hm.php?id=db030d1078c7fbb9da84fe03303e2c13&key=***
民视台湾台,http://139.159.221.112:80/today/hm.php?id=a9ca9898d44bbd8469d8bad299d6b96e&key=***
民视影剧台,http://139.159.221.112:80/today/hm.php?id=a50d0e624166a8047f8b372860e2879a&key=***
民视旅游台,http://139.159.221.112:80/today/hm.php?id=a4e2f32c86e3ba020c2fab1cea96eb5f&key=***
民视综艺台,http://139.159.221.112:80/today/hm.php?id=d161ec8bfdb3e482b0be3aac4e7e0170&key=***
台视,http://139.159.221.112:80/today/hm.php?id=8c1a9a9920c0239ccfcc8e6109ffb762&key=***
台视新闻,http://139.159.221.112:80/today/hm.php?id=08c4e83d96e87269495a7515fb8ac052&key=***
台视综合,http://139.159.221.112:80/today/hm.php?id=e4e97490cfc6eccb01692a68598eef97&key=***
台视财经,http://139.159.221.112:80/today/hm.php?id=1fad7d467e94cfa3777286f412d2edb9&key=***
台湾戏剧,http://139.159.221.112:80/today/hm.php?id=19885b6f20ff422a053e676f38af309a&key=***
华视,http://139.159.221.112:80/today/hm.php?id=78f76a6d37de425d1d7c979c6a16e175&key=***
CTS华视新闻资讯,http://139.159.221.112:80/today/hm.php?id=deaa0ed42ecc2a64b822af917c20851678f67253290bde90bed62ad75c5f6554&key=***
壹新闻,http://139.159.221.112:80/today/hm.php?id=af3dca7857c0459fabbca55f374a9ea9&key=***
壹电影,http://139.159.221.112:80/today/hm.php?id=d683c994ddd4e2dd5cb1f8ff7d9c705b&key=***
JET综合台,http://139.159.221.112:80/today/hm.php?id=f4b6fe9e4a98903e8a7aec3b630b70d1&key=***
年代新闻,http://139.159.221.112:80/today/hm.php?id=dbd24b6bf07c8feefe332dfb67718b99&key=***
年代Much,http://139.159.221.112:80/today/hm.php?id=502784b2c3c6a0fc31a11ddda16cc6d1&key=***
非凡新闻,http://139.159.221.112:80/today/hm.php?id=8ae49b78e43530c9b5d7937d3c0ba944&key=***
非凡商业,http://139.159.221.112:80/today/hm.php?id=fbc9a1e140e540ad1a56634d27c04549&key=***
寰宇新闻,http://139.159.221.112:80/today/hm.php?id=6622491c5ef170ca7d0f01e694f72f37&key=***
寰宇新闻台湾,http://139.159.221.112:80/today/hm.php?id=937d64cf20c64d94627818fcaddcb027c981975b202968096e843dad73ffafcd&key=***
寰宇财经,http://139.159.221.112:80/today/hm.php?id=f703110bcbfffdded266e60ee402254f&key=***
镜新闻,http://139.159.221.112:80/today/hm.php?id=c9a42275fac0467a5c141972cba70349&key=***
东森中国台,http://139.159.221.112:80/today/hm.php?id=b8bf9b084368d9537c90a27d641a7df6&key=***
东森超视,http://139.159.221.112:80/today/hm.php?id=b55fd753224ae9d746e3f10b942d2c3a&key=***
东森亚洲,http://139.159.221.112:80/today/hm.php?id=9e0409c56e2e353cab5bdc972fa54e63&key=***
东森综合,http://139.159.221.112:80/today/hm.php?id=d7024495bd7eebf310360ed63d7770f5&key=***
东森新闻,http://139.159.221.112:80/today/hm.php?id=9c5939953fa1fa89d6895b6debbda45e&key=***
东森财经,http://139.159.221.112:80/today/hm.php?id=ba33aab10e398fdf56436d79ee38bd22&key=***
东森LIVE,http://139.159.221.112:80/today/hm.php?id=178e5733c52ae8b3149ccfe31e02b966&key=***
东森电影,http://139.159.221.112:80/today/hm.php?id=337e0831dbd1b3153a362936e6c4eedc&key=***
东森洋片,http://139.159.221.112:80/today/hm.php?id=8dcb6691e442bb73ea934fc67139ad3a&key=***
东森戏剧,http://139.159.221.112:80/today/hm.php?id=a2c01c5bfc4aa559208354ba7558d82c&key=***
东森幼幼,http://139.159.221.112:80/today/hm.php?id=6bf0ce1998edacf5ac3d2a4d5e0ad7dc&key=***
MOMO综合台,http://139.159.221.112:80/today/hm.php?id=5b06e3418e1097f80019f1a6221a2959&key=***
MOMO亲子台,http://139.159.221.112:80/today/hm.php?id=4d3007b285621c4f67f3eedfa3b9ce52&key=***
MOMO台,http://139.159.221.112:80/today/hm.php?id=7164b36075a5c4c33687b730f8fe586a&key=***
国兴卫视,http://139.159.221.112:80/today/hm.php?id=92d360319b3f9af6cf740444ebaf318f&key=***
龙祥时代,http://139.159.221.112:80/today/hm.php?id=5c07c923d6a57ccf332e72cfe83d7960&key=***
龙华偶像,http://139.159.221.112:80/today/hm.php?id=02c4011cec9b8f58cfefae74a63b6651&key=***
龙华电视,http://139.159.221.112:80/today/hm.php?id=3358f1005352f6158e749df322577c17&key=***
龙华戏剧,http://139.159.221.112:80/today/hm.php?id=3edbc1c3be5b34ea1c8eda4b7966fd42&key=***
龙华日韩,http://139.159.221.112:80/today/hm.php?id=20ea73ffe0df70e3c2eab8ca8a501997&key=***
龙华电影,http://139.159.221.112:80/today/hm.php?id=6f13b3921059bb70cb382fc4e4a9c066&key=***
龙华影剧,http://139.159.221.112:80/today/hm.php?id=2243dfb17523cfc132afb0327ac97bca&key=***
龙华洋片,http://139.159.221.112:80/today/hm.php?id=9278d1e9f3f3747ad9403c9983d8163a&key=***
龙华卡通,http://139.159.221.112:80/today/hm.php?id=2c1d02b4965dd92313d1d44ace27b91e&key=***
龙华经典,http://139.159.221.112:80/today/hm.php?id=57c4f660ef3719adcdbfd9446400d2bf&key=***
三立都会台,http://139.159.221.112:80/today/hm.php?id=cec8b919c1499655c2def14dad2cc0a0&key=***
三立综合台,http://139.159.221.112:80/today/hm.php?id=be8f606db7b33bfc2182e3abb9db7a46&key=***
三立台湾台,http://139.159.221.112:80/today/hm.php?id=085e32d72f0375646fd572fa083eca49&key=***
三立戏剧台,http://139.159.221.112:80/today/hm.php?id=c8b5b0847d8f573150c1a50b129cbc01&key=***
三立新闻台,http://139.159.221.112:80/today/hm.php?id=69cc9084faf3dedeb7f911d5695f78d5&key=***
三立iNEWS,http://139.159.221.112:80/today/hm.php?id=496cdec3a4efb7244d7f85d129f22eb7&key=***
三立国际台,http://139.159.221.112:80/today/hm.php?id=68aefbdf76dc9d58bf0e3533ee5c83a7&key=***
LIVE三立,http://139.159.221.112:80/today/hm.php?id=7c223e7bea2176133457b2f6812f9cce&key=***
中天新闻,http://139.159.221.112:80/today/hm.php?id=fc0c02777fe48801888bb977c552139a&key=***
中天综合,http://139.159.221.112:80/today/hm.php?id=ed3b013b5943d806b3f768f01dd00097&key=***
中天娱乐,http://139.159.221.112:80/today/hm.php?id=1b20e128143799b1e0fb0339f3d766d5&key=***
纬来综合,http://139.159.221.112:80/today/hm.php?id=12a094911dc584b37b0c1a7233ddc19f&key=***
纬来精彩,http://139.159.221.112:80/today/hm.php?id=b5e4f3f74375b17ae15c1973eb8b6258&key=***
纬来戏剧,http://139.159.221.112:80/today/hm.php?id=ae98ffa81132e335d9701b59fbd9f92e&key=***
纬来日本,http://139.159.221.112:80/today/hm.php?id=def0b509a4b708d7b85721596b5adae4&key=***
纬来育乐,http://139.159.221.112:80/today/hm.php?id=de2d82736ea94b17c5201bd9e1800c84&key=***
纬来电影,http://139.159.221.112:80/today/hm.php?id=4b85ad3618af9649a3941f2ac121e988&key=***
纬来体育,http://139.159.221.112:80/today/hm.php?id=fba2aafc1808c8e3793a37d0a035ba30&key=***
八大第一台,http://139.159.221.112:80/today/hm.php?id=605ddce1b1ff4493852133c6c6b609fc&key=***
TVBS新闻台,http://139.159.221.112:80/today/hm.php?id=3352504c2b1d9fdcb61c757a93180163&key=***
TVBS精采台,http://139.159.221.112:80/today/hm.php?id=0ce2004aff1976994d7485fb8322517c&key=***
TVBS欢乐台,http://139.159.221.112:80/today/hm.php?id=c48e6958888b06012c81e37ef37cb935&key=***
TVBS,http://139.159.221.112:80/today/hm.php?id=867cfd1862a07bb25bbde345cc6ce78f&key=***
TVBS NEWS,http://139.159.221.112:80/today/hm.php?id=5c6fd9f9c75eb7c7f96c1b06a10f8d10&key=***
ELTA日韩,http://139.159.221.112:80/today/hm.php?id=a5e4cc98ed053819714745a0157973a3&key=***
ELTA影剧,http://139.159.221.112:80/today/hm.php?id=fd02a792cffe90e05986ada85b5eb22d&key=***
ELTA综合,http://139.159.221.112:80/today/hm.php?id=fa4fb972af9e13e9f2109418b16300a4&key=***
ELTA娱乐,http://139.159.221.112:80/today/hm.php?id=0cb5da682ab84d60f14a6ea8068bd5e5&key=***
ELTA生活旅游,http://139.159.221.112:80/today/hm.php?id=f5fd5c0bf78f8134e3b373274302391dbfd9c72884cf7b0b902d747118b3da55&key=***
ELTA体育1,http://139.159.221.112:80/today/hm.php?id=4895bf52f6c3654bf32f90c92e430682&key=***
ELTA体育2,http://139.159.221.112:80/today/hm.php?id=341e779993bd0156bb7000aa730daad0&key=***
ELTA体育3,http://139.159.221.112:80/today/hm.php?id=273eec263cf10c81fde0b876f54d8d5b&key=***
ELTA体育4,http://139.159.221.112:80/today/hm.php?id=775f47d64c17ec3d7f195554b369b407&key=***
ELTA体育MAX1,http://139.159.221.112:80/today/hm.php?id=df535599d45e7735b43cd141c0e08d1d&key=***
ELTA体育MAX2,http://139.159.221.112:80/today/hm.php?id=0fa415f437c97218dfea432a154c9e3b&key=***
ELTA体育MAX3,http://139.159.221.112:80/today/hm.php?id=08aa4bf450e954cce968cf15b7461b9c&key=***
ELTA体育MAX4,http://139.159.221.112:80/today/hm.php?id=9e13440546b9de0b0aa126bb940880fd&key=***
GinxTV电竞频道,http://139.159.221.112:80/today/hm.php?id=4d1a8aefbd5ebe625807e2c72bcbd880fc0ed1a7966afde90cbb203fa4bafc6b&key=***
博斯运动1,http://139.159.221.112:80/today/hm.php?id=04f10199a5b305aceef5030555e76a2a&key=***
博斯运动2,http://139.159.221.112:80/today/hm.php?id=3365c1e19c42c0912899bafa9b679e15&key=***
博斯高球1,http://139.159.221.112:80/today/hm.php?id=dd9b80c2dfb2970f8f9376919e8d38fc&key=***
博斯高球2,http://139.159.221.112:80/today/hm.php?id=aa7d183ebba8a85cdd426ca188a40d5f&key=***
博斯网球,http://139.159.221.112:80/today/hm.php?id=2807848aa50530b9ff7098c72f2a38c5&key=***
博斯无限,http://139.159.221.112:80/today/hm.php?id=ef0f9f404c9d4451645691121867b3d8&key=***
博斯无限2,http://139.159.221.112:80/today/hm.php?id=65cdd3cb2c89051f44fb765ee2aaf5be&key=***
博斯魅力,http://139.159.221.112:80/today/hm.php?id=3b81fcf09ae5bb497dd69342d18ca462&key=***
智林体育台,http://139.159.221.112:80/today/hm.php?id=aa11d80e0083584d24bea8d90cea9f37&key=***
经典卡通台,http://139.159.221.112:80/today/hm.php?id=1ac69bb762f43ec5339313b8aa4a15ac&key=***
美亚电影台,http://139.159.221.112:80/today/hm.php?id=61c4b9f06eda5b1f4e35580f367aec8d&key=***
Thrill惊悚,http://139.159.221.112:80/today/hm.php?id=e47bdb0141fa17788455619de34788c9&key=***
AXN频道,http://139.159.221.112:80/today/hm.php?id=64fe56c1a1ed6441d8342c3c6752a544&key=***
华纳电影,http://139.159.221.112:80/today/hm.php?id=f93147348df779a52ae25fa9a31961c0&key=***
HBO,http://139.159.221.112:80/today/hm.php?id=6e488559837d2692e37e701d6b2e6446&key=***
HBO原创,http://139.159.221.112:80/today/hm.php?id=efd775b66ec8b3b40c6d0144bfaefa50&key=***
HBO强档,http://139.159.221.112:80/today/hm.php?id=3450bf7bb616b0dd07183a69dfbc0fda&key=***
HBO家庭,http://139.159.221.112:80/today/hm.php?id=0fe5f5b0cfaebb8fb45c33579ba2d663&key=***
好莱坞电影,http://139.159.221.112:80/today/hm.php?id=74ec01bbb71753891a7ccd5596124652&key=***
amc最爱电影,http://139.159.221.112:80/today/hm.php?id=54301b26efb8c496702d72f35651c6cc&key=***
经典电影台,http://139.159.221.112:80/today/hm.php?id=d349dfb79f49ad0477d41e6656582d82&key=***
Channel,http://139.159.221.112:80/today/hm.php?id=c2cdf0cf118639e84fc0f046b8e3f5a3&key=***
人间卫视,http://139.159.221.112:80/today/hm.php?id=d37807f324be3a3477c25e3919945dad&key=***
华藏卫视,http://139.159.221.112:80/today/hm.php?id=11bdff8051386e13a9a395d3b53a1bbf&key=***
大爱一台,http://139.159.221.112:80/today/hm.php?id=9aad9c4e10f680bf1237345db64c11da&key=***
大爱二台,http://139.159.221.112:80/today/hm.php?id=02191d7b6d0983a3b65bb8f8663bca3c&key=***
生命电视台,http://139.159.221.112:80/today/hm.php?id=631ec56784720246c2aa1480db94da94&key=***
唯心电视,http://139.159.221.112:80/today/hm.php?id=3e50945082b26acefeba04a5b6fae5bb&key=***
创世电视,http://139.159.221.112:80/today/hm.php?id=f29d61c9423b47fedd8c9cfbb25fb512&key=***
好消息,http://139.159.221.112:80/today/hm.php?id=d95e9800004ee99fc1b8667e7390e2a7&key=***
好消息2,http://139.159.221.112:80/today/hm.php?id=0ebf9b6b0f1f64041f5b8e56354bf787&key=***
国会频道1,http://139.159.221.112:80/today/hm.php?id=b48e68ea8a1f573c32b16343df46049e&key=***



☘️VPN 日本,#genre#
驚艷,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
驚艷,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
潘朵拉完美,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
松視1台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松視2台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松視3台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
japanese,http://cdn.adultiptv.net/japanese.m3u8





☘️VPN 微sex,#genre#


☘️非VPN sexTV1,#genre#
Cento x cento,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6184/index.m3u8
Cherry Pimps,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6185/index.m3u8
CineMan ExExEx,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/20089/index.m3u8
CineMan ExExEx TWO,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/20090/index.m3u8
Club 17,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6186/index.m3u8
Compilation Adult TV,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6187/index.m3u8
Cuckold Red TV,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6188/index.m3u8
Cum Louder,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6189/index.m3u8
Cum Perfection,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12158/index.m3u8
Cum4k,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6190/index.m3u8
Cum4k UHD,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12157/index.m3u8
DDF Busty,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6193/index.m3u8
DDF Network,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6194/index.m3u8
DE Blue Hustler,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/20023/index.m3u8
DE Penthouse Passion,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/20025/index.m3u8
DE Playboy Europe,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/20026/index.m3u8
DORCEL TV,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12131/index.m3u8
Dad Crush,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12154/index.m3u8
Dancing Bear,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12144/index.m3u8
Dark X,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12140/index.m3u8
Daughter Swap,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6191/index.m3u8
Day with a Pornstar,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6192/index.m3u8
Deep Lush,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12139/index.m3u8
Deep Throat Sirens,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12138/index.m3u8
Digital Desire,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6195/index.m3u8
Digital Playground,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6196/index.m3u8
Dirty Flix,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12130/index.m3u8
Dirty Masseur,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12128/index.m3u8
Dirty Wives Club,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12122/index.m3u8
Dorcel Club,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6197/index.m3u8
Dorcel HD orig,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/9064/index.m3u8
Dorcel TV HD,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/245/index.m3u8
EROCOM TV,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12128/index.m3u8
EXTASY HD,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/11051/index.m3u8
EXXXOTICA HD orig,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/9346/index.m3u8
Emanuelle HD,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6272/index.m3u8
Erotic Spice,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12110/index.m3u8
Erotica X,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12109/index.m3u8
Euro Girls On Girls,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12108/index.m3u8
Evolved Fights,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6200/index.m3u8
Exotic 4k,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12107/index.m3u8
Extasy HD,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6201/index.m3u8
FREE X TV,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/12134/index.m3u8
Fake Taxi HD,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6202/index.m3u8
Fap TV 3,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6204/index.m3u8
Fetish Red TV,http://evzmum03.russtv.net/iptv/ESMHU7B3S7N5NW/6213/index.m3u8
babes,http://ru.iptv.monster/play/1768/manifest.m3u8?token=75BA4FC1CA5013E
TV play,http://ru.iptv.monster/play/1768/manifest.m3u8?token=75BA4FC1CA5013E
Brazzers TV Europe,http://d029dcec.kazmazpaz.ru/iptv/5KLVA2TCEWQTMK/20090/manifest.m3u8
Private TV Россия,http://d029dcec.kazmazpaz.ru/iptv/VZEVDE3KMBMVGUR9Y2EEL7EF/243/manifest.m3u8
Русская Ночь,http://d029dcec.kazmazpaz.ru/iptv/VZEVDE3KMBMVGUR9Y2EEL7EF/147/manifest.m3u8
Playboy Россия,http://d029dcec.kazmazpaz.ru/iptv/VZEVDE3KMBMVGUR9Y2EEL7EF/527/manifest.m3u8
Eroxxx HD Россия,http://d029dcec.kazmazpaz.ru/iptv/VZEVDE3KMBMVGUR9Y2EEL7EF/5015/manifest.m3u8
Exxxotica HD Россия,http://d029dcec.kazmazpaz.ru/iptv/VZEVDE3KMBMVGUR9Y2EEL7EF/9346/manifest.m3u8
Dorcel TV HD,http://d029dcec.kazmazpaz.ru/iptv/VZEVDE3KMBMVGUR9Y2EEL7EF/245/manifest.m3u8
Hustler HD,http://d029dcec.kazmazpaz.ru/iptv/VZEVDE3KMBMVGUR9Y2EEL7EF/244/manifest.m3u8
